gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
Rtp2,0,0,0.001966468,0,0.300525116,0.014669343
Rtp3,0,0,0.295071436,0,0.041697763,0.015573154
Rtraf-ps,8.050595591,6.929806253,5.566224861,1.516144678,2.433885993,11.07150425
Rxra,12.14475209,10.49416894,14.38661447,6.476874907,73.00866982,24.54781505
S100a10,0,0.028378131,0.871483054,1.401110307,9.922982592,133.5852916
S100a11,0.38742086,0.105562741,3.475922677,1.865989517,22.9348544,185.0995658
Sacs,22.57191871,24.30586846,36.20643543,9.112309168,0.485806234,2.172194167
Samd15,0.375022469,0.60827194,1.370135905,3.575854615,0.235807451,0.047949148
Sarm1,0.253756288,1.156513778,2.228261933,5.760483999,10.65491484,17.17237261
Saxo1,6.602584604,3.323503133,1.245514843,9.774368673,3.021476717,40.18434171
Sbp,0,0.050213058,0.004584668,2.799092356,6.057215867,1.798352578
Sc5d,91.18831376,68.05330133,8.920890416,18.70888916,14.48141664,8.810509252
Scarb2,17.49390467,11.6373369,7.3122869,7.414410964,29.38314772,54.01187479
Sdc4,0.774634459,3.047236861,7.813399754,4.295166493,239.9171701,1705.312884
Sec24d,64.08182075,78.89810364,45.49393833,6.113749982,1.06710744,0.531461564
Sec61b,21.88649513,11.88655978,10.82797967,8.451356094,19.29926697,46.87401805
Sel1l,49.93946888,33.07546937,19.75632539,36.77189886,19.64417632,42.15354924
Sel1l3,0,0.194817221,0.335315994,0,0.249717814,0.0785988
Selenbp2,0,0,0.032009451,1.358001542,1.061809522,1.620294625
Sema5a,86.75298848,85.15956804,46.61374884,3.003603095,5.012910319,26.32378278
Sept8,0,0.082109178,0.114535432,1.410191117,32.21218399,43.78065961
Serinc1,167.1490168,70.41832143,53.32907759,98.65026582,242.5246305,59.44270504
Serinc2,1.046631275,1.063540828,1.282252723,1.38390943,3.374241063,21.49635148
Serpinb6a,2.447130955,0.575567299,1.592045949,0.654900949,47.81714658,294.3882217
Sft2d2,20.59815758,19.08465148,1.999468211,0,1.17764632,25.53167059
Sgsh,0.007477583,0,5.428697201,4.578064908,0.598844265,0.671150671
Sh3bp5l,2.645982267,0.028693176,5.16288237,32.23588139,24.52189558,10.50770335
Sh3yl1,73.25735731,54.89155195,53.26463651,6.394082176,2.952717359,5.728721542
Sharpin,1.053716309,1.202938695,0.966283748,3.316252883,12.4418731,25.01257003
Shmt2,138.2315972,117.1076457,54.99592542,20.12912498,34.58268892,74.53736171
Siglecg,0,0.222231579,0.025864741,0,17.2265,2.471088849
Sin3b,152.4385292,113.010851,65.63832125,34.36680261,78.77130086,136.8129936
Skap2,197.2928399,222.5239855,144.3180623,36.47495549,16.92631373,56.31675659
Skil,0.732803159,0.021155776,6.95091657,15.75566334,8.034397532,51.61872545
Slain1,628.4085188,471.4867853,522.1549971,36.8193521,16.18886202,0.508916616
Slamf7,0.007280602,0.03428329,8.733365686,1.401543133,0.853032864,0.105160398
Slc10a6,20.05030592,14.57452276,47.42511873,17.07223352,7.595990315,0.601767476
Slc16a12,0.025636011,0.374355036,0.009511431,0,0,0.000614795
Slc25a24,2.063998086,1.320602168,0.362135993,3.266065618,2.595189754,4.372087511
Slc25a26,26.7975408,29.24756457,2.150664483,2.149140222,18.57266304,27.35045753
Slc25a4,17.9710834,15.14919922,9.583263603,120.2974286,428.2653546,911.6207736
Slc35f6,112.3137016,164.9547465,18.32234959,16.3023095,65.85455821,61.88013109
Slc36a3os,0,0,0,0,0.465038053,0.699537364
Slc37a1,2.854744828,3.627409182,30.60826209,77.56552214,44.62733718,45.93556621
Slc38a2,0,0.875589933,4.034038068,19.5390013,9.30906272,11.30921794
Slc39a10,612.4869453,423.9146632,212.071929,94.54164464,39.3184991,39.91137061
Slc48a1,16.40213382,17.66335447,4.406045972,1.306996922,3.291525683,1.323413383
Slc52a3,0.013085131,0,0.062747216,0,3.956747337,14.13509073
Slc5a11,1.076771988,0.255568631,7.953919858,16.80428658,56.61652326,147.37484
Slc6a12,4.110934645,8.465490548,0.798756159,0,0.299635215,1.477674707
Slc6a13,4.841896034,3.228815045,1.27521744,0,1.344227951,20.39000819
Slc6a15,68.3718163,55.81371053,40.46545919,16.92061308,0.424779973,4.097877052
Slc6a5,0.892192078,0,0.021157045,0,0.01960991,0.001963732
Slc7a11,326.8778004,269.5435248,53.77537841,4.508615928,4.916574217,9.346997786
Slc9a3r1,2.225818154,2.99060184,38.48099897,5.915787692,11.37670564,95.24239636
Slc9b1,52.53559394,23.83020989,2.624000099,15.56624816,9.371074916,34.69341036
Slco2a1,1.310624689,2.883237898,0.23005189,0.185157322,6.886637323,15.43173681
Slfn2,0,0.161687643,6.581495761,2.079896898,2.448285793,2.874950469
Slx4,53.34688283,73.86155061,37.38885453,22.78537436,32.68786719,41.97070486
Smad5,85.90668082,70.30904373,34.10916163,1.718868123,7.628676502,15.53137207
Smcr8,12.22265785,31.37158695,34.21650185,44.91702371,22.36655874,17.71943986
Smoc2,32.9770505,16.57503855,4.357978335,0,0.576414761,0.072523368
Smox,28.48062555,24.83745862,22.66799328,0,2.085929259,3.106222714
Sncaip,7.638004926,8.203987724,0.963270062,0.431258385,0,0.039464686
