gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
Gm18856,1.788276374,0.784261518,6.525791227,3.968247931,1.908705276,1.812317462
Gm18983,0.135452944,9.669406622,38.62605805,20.2201998,10.3742947,7.076514309
Gm19368,0.082660838,3.157656318,5.537420757,2.324562105,1.002177867,0.358843846
Gm1982,0.054447137,0.526807666,0.944541319,0.652396216,0.32731315,0.139334588
Gm1995,0.233824978,7.785258416,54.96933838,26.45576965,14.20076771,6.590249255
Gm2016,1.026365771,113.5863416,363.060943,190.6580797,87.00295314,38.8949015
Gm20186,0.888412401,1.493530406,1.621144187,1.451762471,0.726819782,0.354769637
Gm2022,0.431274237,21.46833834,72.30772986,37.31796363,16.45603236,6.674723252
Gm2027,0.107269741,8.105425025,32.36212126,16.53251461,8.282668353,4.276763691
Gm20302,0.265656629,1.310184476,1.707818563,1.312220689,0.805683758,0.845166466
Gm2035,0.34299338,21.86193244,73.58253369,42.08108966,18.53096411,7.184818688
Gm2056,0.258326344,14.11440888,26.09136278,12.88015436,6.315712574,2.291758513
Gm20611,0.448600199,1.714063158,4.500181944,3.043001873,1.227437043,1.608824766
Gm20625,1.144953418,3.716623288,13.11564975,8.000155667,3.327606308,2.395918095
Gm2075,0.110844041,13.11788603,42.37345088,22.67277239,11.23589008,4.757112104
Gm20765,0.107269741,10.04436931,30.57979898,14.72332993,6.345243135,2.339761066
Gm20767,0.22011998,21.69807607,105.2404735,59.32877944,26.35096511,9.536480442
Gm20769,0.054447137,0.376703814,0.695562779,0.34928335,0.178566874,0.054447137
Gm2099,0.131852286,2.759559554,3.989355538,2.17400313,0.977290016,0.493442096
Gm21033,0.054447137,2.768030682,3.097965142,2.896577017,1.421159413,0.688828432
Gm21034,0.054447137,1.991497743,3.097965142,2.274672006,1.058509823,0.62947305
Gm21035,0.054447137,1.578620391,2.210013959,2.072250887,1.214081543,0.358843846
Gm21036,0.054447137,0.534242728,0.747498274,0.698726449,0.302736936,0.245674912
Gm21037,0.135452944,12.03386417,23.88424412,13.62925334,7.06857352,2.694906222
Gm21083,0.054447137,2.439100198,2.481306851,0.858070288,0.697389435,0.21739455
Gm21149,0.054447137,0.509113268,0.641058408,0.260337014,0.178566874,0.136622848
Gm21293,0.293895486,38.89004792,118.4517501,55.6963347,24.70956405,9.098575685
Gm21304,0.16003549,19.02701123,54.28663067,25.84864915,11.60145562,4.135600432
Gm21319,0.163633084,23.88927968,50.62382874,26.02454085,14.42094398,5.63832029
Gm21358,0.082660838,1.232301147,2.114013978,1.57705729,0.886822921,0.189103943
Gm2139,0.054447137,5.265456334,10.85053695,5.118883298,1.809519417,0.547345334
Gm21542,0.20922845,17.16653886,56.80713923,29.02185695,13.15945716,5.261695331
Gm21569,0.054447137,0.709812493,1.25353302,0.831680262,0.954253467,0.387192991
Gm21731,0.103638586,3.025927425,18.50788234,8.850374799,2.977090121,0.661982983
Gm21761,0.483988991,46.15450791,219.5787074,121.4330217,55.74103657,21.6884366
Gm21762,0.156407366,5.06367985,37.08888649,17.48444383,7.395897407,2.810125612
Gm21818,0.16003549,16.82002013,74.38237495,41.20245734,13.62581903,4.548179573
Gm21847,0.054447137,2.147871366,2.978963467,0.943647701,0.512548539,0.357563821
Gm21936,0.110844041,11.41533466,38.39492861,20.62764215,10.01524569,4.429683977
Gm21939,0.565065924,22.03318368,108.8971492,63.18868566,33.41386845,17.77980671
Gm21957,0.054447137,0.136840827,0.58646818,0.477503324,0.142406592,0.163506448
Gm21960,0.786507546,10.83400748,20.9662995,12.91509524,4.263736991,1.10374018
Gm22103,0.054447137,0.108168252,0.552897949,0.294831551,0.117656999,0.13794059
Gm22723,0.054447137,0.294304941,0.722838232,0.388512656,0.205616454,0.24701455
Gm2427,0.152831546,0.841664502,1.695193055,1.614337003,0.699701728,0.439622089
Gm24442,0.054447137,0.348022537,1.030266081,0.512735978,0.210136276,0.081369622
Gm24447,0.62417625,0.133206271,1.057509675,0.978457171,1.026627257,0.964945586
Gm26184,0.054447137,1.74338581,2.232483338,1.483036547,0.271032239,0.195978317
Gm26691,0.054447137,1.199998076,1.764132416,0.551321187,0.390624449,0.163506448
Gm26788,1.37777068,65.30124825,71.53986277,37.39005043,18.32863726,12.19886861
Gm26797,0.054447137,1.328130882,3.759068261,1.646698006,0.516910885,0.249863421
Gm27010,1.054236506,2.215991954,3.013097391,2.845729155,2.479183955,1.945529795
Gm27167,0.384995047,48.69817804,85.14595197,46.90011303,25.43771222,7.928887456
Gm28386,0.16003549,1.339771822,1.441349928,0.87826182,0.711024311,0.581105187
