TE,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Rep.RLTR34B_MM.LTR.ERVK,146522,-0.695808084,4.343448335,3.780851783,0.091075635,0.223573456,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MIR3.SINE.MIR,17868,-0.685067928,0.537558409,3.770956596,0.091423569,0.22406893,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER13B.LTR.ERVK,775562,0.467276091,4.800812531,3.691300641,0.09428923,0.228421582,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR10D.LTR.ERVK,159400,-0.417375831,4.06882886,3.68363305,0.094571288,0.228867524,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.BGLII_A.LTR.ERVK,57127,-0.504618544,1.41793893,3.648147125,0.095891252,0.230805086,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ETnERV-int.LTR.ERVK,552250,-0.378921104,8.630454552,3.606596859,0.097467858,0.233405487,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.Lx3B.LINE.L1,77104,-1.096684099,-1.729706279,3.44194477,0.104063225,0.244043711,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR44D.LTR.ERVK,26495,-0.799092415,-0.496275952,3.398996878,0.105880098,0.246557077,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.L1Md_Gf.LINE.L1,1608299,0.50144726,1.757668061,3.391941365,0.106182583,0.246878615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR19C.LTR.ERVK,11076,-0.829885984,0.08171917,3.323191949,0.109190848,0.251343392,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.BGLII_C.LTR.ERVK,8890,-1.022507376,-1.662380216,3.301367645,0.11016941,0.252794857,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR9A3A.LTR.ERVK,13860,0.855051706,-0.897433291,3.258073503,0.11214535,0.255534635,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR41C.LTR.ERV1,23829,0.7477734,0.418986998,3.209385511,0.114424086,0.258794325,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ERVB5_2-LTR_MM.LTR.ERVK,192710,-0.588588344,1.796883968,3.202574643,0.114747745,0.259307949,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.L1VL4.LINE.L1,387602,0.560416365,1.228915259,3.197692899,0.114980479,0.259554737,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.Lx.LINE.L1,621578,0.566034041,3.761874959,3.182557301,0.115706061,0.260354117,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.IAPLTR2a2_Mm.LTR.ERVK,470397,-0.398860332,3.570977897,3.115862022,0.118976931,0.265420266,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR13D4.LTR.ERVK,70394,1.424704337,-1.584068646,3.098209022,0.119863227,0.266485259,0_vs_12,ZfpOE,0_vs_12_ZfpOE
