gene,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Bicdl1,6157,-0.152889167,3.687092563,1.456862098,0.237217877,0.329968133,0_vs_24,DuxOE,0_vs_24_DuxOE
Setmar,1765,0.387364449,0.825774863,1.456783612,0.237230206,0.329968133,0_vs_24,DuxOE,0_vs_24_DuxOE
Shb,3199,0.112134023,4.594627964,1.454670241,0.237562494,0.330406545,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm11539,557,-0.530742828,0.021518505,1.453879597,0.237686959,0.33055587,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm6682,1346,-0.250691866,2.02149661,1.453121014,0.237806454,0.330698263,0_vs_24,DuxOE,0_vs_24_DuxOE
Snord7,97,0.576690373,-0.184690731,1.45159923,0.2380464,0.331008126,0_vs_24,DuxOE,0_vs_24_DuxOE
Xlr3c,1584,-0.406909775,0.625361128,1.451366126,0.238083182,0.331035459,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm49041,544,-0.854996863,-1.120429724,1.450804073,0.238171898,0.331133667,0_vs_24,DuxOE,0_vs_24_DuxOE
AA465934,711,-0.261201918,1.895625016,1.450701625,0.238188073,0.331133667,0_vs_24,DuxOE,0_vs_24_DuxOE
Zranb3,9079,0.083739332,5.76646536,1.449998031,0.238299199,0.331264333,0_vs_24,DuxOE,0_vs_24_DuxOE
Ascc2,4964,0.089532412,5.517509687,1.449763339,0.238336281,0.331292057,0_vs_24,DuxOE,0_vs_24_DuxOE
Irx4,2607,0.897840988,-1.399888726,1.449358988,0.238400186,0.331357061,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm13217,953,0.142146451,3.84670856,1.44917182,0.238429774,0.331366267,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm10241,286,-0.360232089,0.942242934,1.449100227,0.238441093,0.331366267,0_vs_24,DuxOE,0_vs_24_DuxOE
Lrrc39,5230,-0.462810758,0.28410701,1.44887815,0.238476208,0.331373731,0_vs_24,DuxOE,0_vs_24_DuxOE
Rpl21-ps15,483,0.779861562,-1.0781902,1.448849438,0.238480748,0.331373731,0_vs_24,DuxOE,0_vs_24_DuxOE
