gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
Prickle2,3.445765792,4.180957461,2.99313643,2.832887313,1.61795863,1.928926749
Prmt9,20.79443482,27.35710873,24.1717045,17.35463658,11.72963344,12.01302082
Prpf31,46.86226765,104.9462654,60.2398237,34.26375282,35.79100228,31.83568421
Prpf6,121.920622,158.2980953,114.7407681,82.11091836,85.36295476,91.36893161
Prps1l3,37.04393776,59.48370958,40.12697216,25.26333693,17.95686185,14.61367685
Prr14l,29.71198952,50.4073834,36.98022771,35.10475009,22.66000367,22.26057726
Prr23a1,1.373755797,2.524956366,2.20365939,2.508568024,1.412402167,0.772377148
Prr5,9.035085224,17.65541594,14.26644967,11.98800341,7.926247383,6.502202327
Prrg1,1.201422882,3.246748065,2.722525414,2.647262742,2.028716497,1.984441764
Prss16,4.482092693,7.715412906,6.620763755,5.307523542,3.412285956,2.374172089
Prss27,0.889029712,0.959981494,0.808473659,0.159379323,0.512548539,0.555592409
Prss35,2.488352631,8.272680486,2.762652032,1.890769249,1.087708104,1.575410306
Prx,19.43404949,23.23393943,12.65052986,11.44064753,7.648021943,9.605827629
Psd4,7.679144078,16.28011138,9.305195186,8.941236804,5.830075808,5.567159251
Pskh1,7.597343686,22.04671424,19.83251716,17.65356732,10.45549517,5.192787355
Psma2,165.7360194,183.7275941,130.7278503,86.81073696,99.13555459,85.65746152
Psma5,171.4556204,189.9158622,128.8326867,90.02267925,103.710696,90.41561754
Psma6,155.395572,184.9539345,121.3509788,90.48026678,102.9548565,99.0465389
Psmb10,20.08225241,22.8776389,13.84257731,11.62860503,12.66405856,11.9293024
Psmc1,243.3427704,328.6766232,220.8789748,155.9579891,190.7278179,174.128975
Psmc2,81.64627008,126.0866478,80.98502528,62.5510273,72.78288259,64.87092416
Psmd12,126.284889,154.5097588,101.64173,78.11388003,85.32527478,79.78264893
Psmd13,171.1954775,202.0607862,143.5114644,99.6949908,104.7336047,101.4406267
Psmd7,179.8211623,228.0314053,139.8812294,102.4428472,98.42790218,76.69710179
Ptcd1,26.07441829,33.27524505,22.60641312,19.44052724,14.69150126,18.31586816
Ptger2,0.07905604,0.938830705,0.279016136,0.279612429,0.054447137,0.082737743
Ptpn7,6.254958648,6.699568813,5.124912189,3.512199968,4.126286114,3.693276436
Ptprtos,0.909512001,2.507114039,1.872889046,1.292441387,0.742471126,1.027126023
Ptrh2,10.32664002,17.71384417,10.08300235,9.439241026,8.382100933,6.707622906
Pum3,116.9307435,180.5618162,116.6999553,88.72765249,91.87615724,92.87488394
Pus7l,9.181980875,12.40574897,10.38638445,9.077916452,7.348029331,5.278797789
Pwwp3b,7.819295686,10.90024922,7.967492328,8.372127906,4.794482509,3.544145356
R3hdml,2.134119141,2.740156812,1.757551873,1.152859687,0.900336355,0.273991395
