gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
Riok2,74.05092737,105.525781,118.0400746,201.256642,134.0509695,84.95469198
Robo4,0,0.011696399,1.805456991,0,0.230973201,0.208011724
Rpf2,3.894846908,1.223738067,50.26183215,239.6156835,206.8513037,142.2856784
Rrn3,82.44225455,141.8213141,649.9673025,758.0332729,379.8756328,304.5863446
Rsl1d1,775.7164974,783.4278145,437.5013814,874.1412062,646.3445748,509.0468384
Ruvbl1,5.159603936,3.603276224,25.46165816,138.9680606,80.01752432,77.51160726
Sac3d1,0.5829615,1.625838242,127.1967564,24.44926683,17.40351697,9.124555166
Serp1,79.33910522,77.64599293,141.4138714,95.19513263,87.30582456,55.67957591
Setd1b,114.7859994,62.24323562,70.33402237,73.31769286,48.51133894,42.6043511
Setx,144.8192686,155.2598423,432.1572942,588.7437416,191.5594512,269.5840722
Sfpq,173.6606507,132.5231352,184.1985697,234.6463639,357.8618327,271.7739312
Sh3rf2,5.356215958,8.746409055,3.963697677,0.005265204,0.005801105,0.135276873
Sigmar1,16.36791124,35.95420383,41.07432668,67.29417102,17.48658462,37.61394819
Slc10a3,21.28661666,33.39112046,103.1655141,64.82575626,9.233562395,4.686887288
Slc25a38,56.74427899,49.47958543,84.86441456,109.6153383,32.84355647,20.9697929
Slc25a5,118.7739516,173.4279826,133.1856632,221.9978579,1157.004597,2083.687542
Slc29a3,12.00733371,23.76489964,9.237439989,26.42911525,31.76265257,5.760799845
Slc51a,0.201713625,0.254736378,1.164102909,0.018361709,4.995852539,2.235627465
Smpd4,22.8217221,19.87580244,165.2551592,202.7951807,93.07447905,92.09423953
Smpdl3b,0.306580913,0,0.349675089,5.746003928,3.415114269,44.10746586
Snora41,0.149354683,0,0.285068585,1.450933518,2.924013798,1.659682299
Snx5,5.014219509,6.325538776,78.04350797,302.2862499,498.4635239,367.4667637
Son,198.4165101,117.2767723,426.0996183,479.4651467,315.2950117,281.8232164
Sqle,23.74326938,29.82345457,205.6735978,133.1706778,67.4468415,35.95803655
Srm,35.69092592,14.48517961,22.81558624,213.7192338,124.1054565,73.13277627
Srrt,33.22094886,24.24495064,15.52069388,49.88701932,64.61413307,76.2873313
Srsf2,40.71082378,49.98464356,131.3930112,261.782317,220.2414046,169.3873791
Synpo2l,7.512920114,6.527577482,4.965518781,0.478504428,3.781834714,2.399231994
Taf1d,24.37529291,19.46060493,408.859756,297.9851776,229.6596392,194.9940248
Tbl3,3.412301675,2.856814117,80.81598162,353.8079262,211.7165433,78.39084967
Tbrg4,9.490483247,10.19105043,61.07729651,96.60805555,133.5764789,101.31947
Tceal8,208.2638535,279.3865373,35.88389167,11.45707343,5.142321935,0.138804276
Tcf15,1.324156551,0.203654185,0.672020495,2.058878569,3.203123381,2.107593972
Tdpoz2,0,0.056244973,7.631134397,8.254491473,7.233673477,0.45001935
Tex10,77.34636021,76.59426545,41.26854414,245.5643823,111.3394782,117.4855764
Thada,50.6823947,26.92034082,5.084187254,12.19747115,27.59499883,32.95103295
Ticam1,1.72446167,2.680253078,21.95319363,5.000225451,9.450518231,9.753538516
Tlcd1,3.655191742,4.121693829,5.353324523,20.76083475,27.37437218,27.46621263
Tle4,95.83632756,109.4314364,249.8386114,136.1835562,247.0131499,124.1675993
Tm4sf5,0,0,1.856631619,0.629176821,2.006553489,1.05889895
Tmem17,2.513409588,1.931943355,0.233165493,1.151417056,1.376436782,9.026724016
Tmppe,0.299614064,0.184905361,16.81177001,122.9858441,80.5226899,43.42622913
Tmprss11d,0,0,0,0,0.304091818,0.008721493
Tnfrsf25,0,0,0.106935629,13.29554328,2.886402383,1.005977515
Toe1,5.143950078,6.65308236,17.681563,61.27227514,80.13334159,68.63436943
Top1,841.8021644,693.3115366,534.3375717,574.5819578,393.4737115,215.4959328
Topors,74.63701593,67.81057268,840.5713843,320.6355607,133.8315176,92.77619778
Tpm3,42.65363339,25.37078623,167.3257403,227.7982893,245.7348065,386.8344281
Trim28,286.0558435,59.92609487,476.2734999,1030.239306,1354.091905,946.7813965
Trim43a,0.009079214,3.165521355,741.0336141,2109.77198,1867.007963,508.7029212
Trim6,0,0.073239507,73.67447578,161.4154636,106.5823277,104.2521846
Trip13,14.34024375,16.05999118,45.24573326,190.7550263,206.6966717,123.7607279
Trmt11,52.59620256,61.55265139,33.16386233,15.05794623,51.22699155,52.72529289
Tuba1c,25.65052133,14.69953015,67.80585713,25.73159862,71.74737972,193.8011188
Tubb4b,314.1958442,138.3492685,418.6346938,664.6625938,369.3914464,218.4995685
Tubb5,70.52013743,51.99248087,302.6743592,236.2506624,133.1631266,657.579352
Tut1,77.19637904,58.74863979,29.75624645,109.5999566,56.65383998,40.06066752
Ube2l3,8.470013446,9.523439282,15.36171559,63.04207891,107.9254374,180.9741281
Ubxn1,16.93417463,8.271587008,73.21312635,426.3899408,652.0321135,295.3977466
Utp14b,19.56253117,29.25345385,405.3883725,172.3651226,34.71646166,31.43927728
Utp20,86.51103842,59.84288457,58.54266668,172.0777045,121.2052733,92.22027018
Utp3,25.10403151,17.05567031,190.3977139,380.447823,185.5236481,79.90385456
Vangl1,0.861075839,2.064948738,0.456854568,4.036293126,25.1671474,104.181676
Vegfc,0,0,0.046200033,0,0.031408364,1.773989142
Vmn1r227,0,0,1.745589829,0.363423441,0,0.008559922
Vwa3b,1.024497183,0.219410204,2.212990792,2.66314634,2.221421097,4.122462102
Wdr55,34.53142654,50.16694755,77.19084175,147.1872698,62.82556613,58.5598944
Wdr74,6.794562253,5.419786656,62.7070968,318.4989572,460.2287885,178.2135101
Xaf1,0,0,0.044918109,0,0.591618189,2.192815792
