gene,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Ckap2l,3137,0.10158179,6.321259783,0.365270756,0.563833216,0.71567711,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Nucb1,8212,-0.157585624,6.258808284,0.365243891,0.563847214,0.71567711,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm26810,1256,0.280161669,-0.527927606,0.36509347,0.563925603,0.715733395,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ier5l,2683,0.263292468,4.440623221,0.364971439,0.563989213,0.715770917,0_vs_12,ZfpOE,0_vs_12_ZfpOE
BC046401,847,0.215353169,0.345880871,0.364811492,0.564072611,0.715833544,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm45110,1402,0.244838174,-0.113264053,0.364662487,0.564150326,0.715873797,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm27616,63,0.371822369,-0.923173263,0.364620106,0.564172434,0.715873797,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rpl9-ps6,714,0.176121106,1.866558035,0.364298047,0.564340496,0.715997711,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lhx2,4393,-0.272916314,-0.417990351,0.364247637,0.564366812,0.715997711,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Srrd,1638,-0.132544919,3.197445527,0.364214998,0.564383851,0.715997711,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tafa3,4484,0.198963137,1.103113091,0.364144704,0.564420553,0.715997711,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm47552,384,-0.427240791,-2.309641433,0.364054188,0.56446782,0.715997711,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zfp672,6674,0.15720534,1.847057069,0.36404152,0.564474436,0.715997711,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm50454,108,-0.425444623,-2.310082992,0.363887445,0.564554914,0.716056589,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Romo1,747,0.280804902,4.08280241,0.362994174,0.565021966,0.716604497,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Pou2f1,16597,0.141690531,6.762643193,0.362890188,0.565076388,0.716604497,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm26707,3902,0.426811932,-2.307020438,0.362857674,0.565093406,0.716604497,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm49405,3904,-0.325289524,0.254833399,0.362736197,0.565157,0.716604497,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Fbxo41,6680,-0.181392782,2.258651224,0.362735565,0.565157331,0.716604497,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Cdc14a,12456,-0.132565355,3.633034354,0.362545707,0.565256752,0.716687334,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Bag1,1349,0.123634263,6.788834766,0.36228307,0.565394344,0.716818556,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Parp3,3699,-0.179384492,1.105158763,0.362103827,0.565488287,0.716826502,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rer1,1814,0.1081967,6.443647458,0.362085275,0.565498012,0.716826502,0_vs_12,ZfpOE,0_vs_12_ZfpOE
mt-Tw,67,-0.285687952,-0.096594697,0.361868511,0.565611667,0.716921143,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ephx3,2502,-0.279007882,-1.009349472,0.361607132,0.565748778,0.717051701,0_vs_12,ZfpOE,0_vs_12_ZfpOE
9330020H09Rik,2147,-0.286678613,-0.778519683,0.361101493,0.566014217,0.71734488,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dedd,5861,0.137441166,2.813034329,0.361036525,0.56604834,0.717344883,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ipo13,4207,0.114293954,5.81458162,0.360366202,0.566400674,0.717748123,0_vs_12,ZfpOE,0_vs_12_ZfpOE
2610307P16Rik,3293,-0.489848217,-1.506277862,0.360017178,0.566584307,0.71793755,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Spata31d1a,5621,0.152473452,2.763034012,0.35991724,0.56663691,0.717960931,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gtpbp8,3527,0.140662287,4.661197842,0.35969035,0.566756374,0.71806902,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Sri,4852,0.127616215,4.465885863,0.359512394,0.56685011,0.718144501,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rpl32,963,-0.230415379,9.546170194,0.359371693,0.566924244,0.718156653,0_vs_12,ZfpOE,0_vs_12_ZfpOE
